ROI,Regression Term,Beta,SE,p.value.FDR,pLabel
TP4,Sent_Sem>S:E1>E3,-0.18,0.17,0.378,
F3,Intercept,0.65,0.09,<.001,***
F3,S-N,0.14,0.14,0.726,
F3,H-E,-0.08,0.17,0.629,
F3,Task Sem>Perc,1.2,0.2,<.001,***
F3,StimType Sent>Pic,-0.83,0.2,<.001,***
F3,Task:StimType,-0.29,0.2,0.462,
F3,Sent_Sem>S,0.38,0.14,0.022,*
F3,SemTask>WMTask,1.99,0.24,<.001,***
F3,E2>E3,-0.22,0.12,0.068,
F3,E1>E3,-0.19,0.14,0.231,
F3,S>N:E2>E3,-0.08,0.2,0.995,
F3,H-E:E2>E3,0.09,0.17,0.951,
F3,Sem>Perc:E2>E3,-0.17,0.29,0.908,
F3,Sent>Pic:E2>E3,-0.09,0.29,0.923,
F3,Task:StimType:E2>E3,0.08,0.29,0.962,
F3,Sent_Sem>S:E2>E3,-0.02,0.21,0.933,
F3,SemTask>WMTask:E2>E3,-0.62,0.24,0.033,*
F3,S-N:E1>E3,0.1,0.22,0.854,
F3,Sem>Perc:E1>E3,-0.49,0.31,0.524,
F3,Sent>Pic:E1>E3,-0.27,0.31,0.856,
F3,Task:StimType:E1>E3,0.14,0.31,0.978,
F3,Sent_Sem>S:E1>E3,-0.28,0.22,0.311,
TP1,Intercept,2.69,0.19,<.001,***
TP1,S-N,-0.25,0.2,0.597,
TP1,H-E,0.31,0.23,0.254,
TP1,Task Sem>Perc,1.61,0.29,<.001,***
TP1,StimType Sent>Pic,-0.68,0.29,0.03,*
TP1,Task:StimType,-0.06,0.29,0.842,
TP1,Sent_Sem>S,0.29,0.2,0.209,
TP1,SemTask>WMTask,4.73,0.33,<.001,***
TP1,E2>E3,1.33,0.2,<.001,***
TP1,E1>E3,-0.58,0.28,0.11,
TP1,S>N:E2>E3,0.1,0.29,0.995,
TP1,H-E:E2>E3,-0.06,0.23,0.951,
TP1,Sem>Perc:E2>E3,0.43,0.41,0.811,
TP1,Sent>Pic:E2>E3,0.39,0.41,0.923,
TP1,Task:StimType:E2>E3,0.15,0.41,0.962,
TP1,Sent_Sem>S:E2>E3,1.13,0.29,0.001,**
TP1,SemTask>WMTask:E2>E3,1.86,0.33,<.001,***
TP1,S-N:E1>E3,-0.25,0.31,0.854,
TP1,Sem>Perc:E1>E3,-0.07,0.43,0.867,
TP1,Sent>Pic:E1>E3,0.13,0.43,0.856,
TP1,Task:StimType:E1>E3,-0.15,0.43,0.978,
TP1,Sent_Sem>S:E1>E3,-0.44,0.31,0.311,
O1,Intercept,2.96,0.22,<.001,***
O1,S-N,-0.32,0.25,0.597,
O1,H-E,0.41,0.28,0.233,
O1,Task Sem>Perc,1.74,0.35,<.001,***
O1,StimType Sent>Pic,-0.17,0.35,0.71,
O1,Task:StimType,-0.09,0.35,0.842,
O1,Sent_Sem>S,-0.06,0.25,0.816,
O1,SemTask>WMTask,4.77,0.4,<.001,***
O1,E2>E3,1.37,0.23,<.001,***
O1,E1>E3,-0.79,0.33,0.099,
O1,S>N:E2>E3,0.11,0.35,0.995,
O1,H-E:E2>E3,-0.02,0.28,0.951,
O1,Sem>Perc:E2>E3,0.24,0.49,0.908,
O1,Sent>Pic:E2>E3,0.05,0.49,0.923,
O1,Task:StimType:E2>E3,-0.03,0.49,0.962,
O1,Sent_Sem>S:E2>E3,0.59,0.35,0.5,
O1,SemTask>WMTask:E2>E3,1.29,0.4,0.011,*
O1,S-N:E1>E3,-0.25,0.37,0.854,
O1,Sem>Perc:E1>E3,-0.44,0.52,0.638,
O1,Sent>Pic:E1>E3,0.1,0.52,0.856,
O1,Task:StimType:E1>E3,-0.07,0.52,0.978,
O1,Sent_Sem>S:E1>E3,0,0.37,0.999,
Cer2,Intercept,1.11,0.14,<.001,***
Cer2,S-N,0.01,0.12,0.965,
Cer2,H-E,0.29,0.14,0.108,
Cer2,Task Sem>Perc,0.8,0.18,<.001,***
Cer2,StimType Sent>Pic,-0.38,0.18,0.043,*
Cer2,Task:StimType,-0.06,0.18,0.842,
Cer2,Sent_Sem>S,0.44,0.12,0.002,**
Cer2,SemTask>WMTask,0.64,0.2,0.003,**
Cer2,E2>E3,0.28,0.13,0.058,
Cer2,E1>E3,-0.27,0.2,0.231,
Cer2,S>N:E2>E3,0.06,0.18,0.995,
Cer2,H-E:E2>E3,-0.03,0.14,0.951,
Cer2,Sem>Perc:E2>E3,0.29,0.25,0.811,
Cer2,Sent>Pic:E2>E3,-0.07,0.25,0.923,
Cer2,Task:StimType:E2>E3,0.08,0.25,0.962,
Cer2,Sent_Sem>S:E2>E3,0.23,0.18,0.517,
Cer2,SemTask>WMTask:E2>E3,0.41,0.2,0.088,
Cer2,S-N:E1>E3,-0.11,0.19,0.854,
Cer2,Sem>Perc:E1>E3,-0.39,0.26,0.524,
Cer2,Sent>Pic:E1>E3,-0.2,0.26,0.856,
Cer2,Task:StimType:E1>E3,-0.09,0.26,0.978,
Cer2,Sent_Sem>S:E1>E3,-0.35,0.19,0.311,
O2,Intercept,0.19,0.06,0.002,**
O2,S-N,-0.03,0.09,0.945,
O2,H-E,0.09,0.1,0.427,
O2,Task Sem>Perc,0.32,0.12,0.008,**
O2,StimType Sent>Pic,-0.06,0.12,0.71,
O2,Task:StimType,-0.05,0.12,0.842,
O2,Sent_Sem>S,0.06,0.09,0.499,
O2,SemTask>WMTask,0.25,0.14,0.078,
O2,E2>E3,-0.05,0.07,0.509,
O2,E1>E3,-0.04,0.09,0.651,
O2,S>N:E2>E3,0,0.12,0.995,
O2,H-E:E2>E3,-0.03,0.1,0.951,
O2,Sem>Perc:E2>E3,0.15,0.17,0.843,
O2,Sent>Pic:E2>E3,0.02,0.17,0.923,
O2,Task:StimType:E2>E3,-0.19,0.17,0.962,
O2,Sent_Sem>S:E2>E3,-0.03,0.12,0.914,
O2,SemTask>WMTask:E2>E3,0.19,0.14,0.216,
O2,S-N:E1>E3,-0.01,0.13,0.948,
O2,Sem>Perc:E1>E3,-0.22,0.18,0.6,
O2,Sent>Pic:E1>E3,-0.21,0.18,0.856,
O2,Task:StimType:E1>E3,0.18,0.18,0.978,
O2,Sent_Sem>S:E1>E3,-0.02,0.13,0.966,
