ROI,Regression Term,Beta,SE,p.value.FDR,pLabel
F3,E1>E3,-0.58,0.29,0.077,
F3,S>N:E2>E3,0.03,0.33,0.946,
F3,H-E:E2>E3,-0.05,0.27,0.994,
F3,Sem>Perc:E2>E3,2.41,0.47,<.001,***
F3,Sent>Pic:E2>E3,-0.28,0.47,0.654,
F3,Task:StimType:E2>E3,0.3,0.47,0.992,
F3,Sent_Sem>S:E2>E3,0.77,0.33,0.028,*
F3,SemTask>WMTask:E2>E3,1.34,0.38,<.001,***
F3,S-N:E1>E3,0.18,0.35,0.843,
F3,Sem>Perc:E1>E3,-1.28,0.49,0.03,*
F3,Sent>Pic:E1>E3,-0.5,0.49,0.802,
F3,Task:StimType:E1>E3,0.06,0.49,0.915,
F3,Sent_Sem>S:E1>E3,-0.76,0.35,0.165,
TP1,Intercept,1.95,0.12,<.001,***
TP1,S-N,-0.2,0.12,0.332,
TP1,H-E,0.23,0.14,0.311,
TP1,Task Sem>Perc,1.65,0.17,<.001,***
TP1,StimType Sent>Pic,-0.81,0.17,<.001,***
TP1,Task:StimType,-0.18,0.17,0.951,
TP1,Sent_Sem>S,0.49,0.12,<.001,***
TP1,SemTask>WMTask,2.31,0.2,<.001,***
TP1,E2>E3,0.75,0.12,<.001,***
TP1,E1>E3,-0.36,0.18,0.077,
TP1,S>N:E2>E3,-0.04,0.18,0.946,
TP1,H-E:E2>E3,-0.05,0.14,0.994,
TP1,Sem>Perc:E2>E3,0.84,0.25,0.001,**
TP1,Sent>Pic:E2>E3,-0.19,0.25,0.616,
TP1,Task:StimType:E2>E3,-0.02,0.25,0.992,
TP1,Sent_Sem>S:E2>E3,0.69,0.18,<.001,***
TP1,SemTask>WMTask:E2>E3,1.02,0.2,<.001,***
TP1,S-N:E1>E3,-0.1,0.19,0.843,
TP1,Sem>Perc:E1>E3,-0.33,0.26,0.254,
TP1,Sent>Pic:E1>E3,0.08,0.26,0.802,
TP1,Task:StimType:E1>E3,0.2,0.26,0.915,
TP1,Sent_Sem>S:E1>E3,-0.21,0.19,0.349,
O1,Intercept,2.96,0.23,<.001,***
O1,S-N,-0.25,0.25,0.484,
O1,H-E,0.35,0.28,0.365,
O1,Task Sem>Perc,1.83,0.35,<.001,***
O1,StimType Sent>Pic,-0.01,0.35,0.971,
O1,Task:StimType,-0.04,0.35,0.951,
O1,Sent_Sem>S,0.09,0.25,0.705,
O1,SemTask>WMTask,5.1,0.4,<.001,***
O1,E2>E3,1.43,0.24,<.001,***
O1,E1>E3,-0.86,0.34,0.036,*
O1,S>N:E2>E3,0.1,0.35,0.946,
O1,H-E:E2>E3,0,0.28,0.994,
O1,Sem>Perc:E2>E3,0.29,0.49,0.551,
O1,Sent>Pic:E2>E3,-0.15,0.49,0.762,
O1,Task:StimType:E2>E3,-0.14,0.49,0.992,
O1,Sent_Sem>S:E2>E3,0.56,0.35,0.118,
O1,SemTask>WMTask:E2>E3,1.34,0.4,0.001,**
O1,S-N:E1>E3,-0.27,0.37,0.843,
