subjid,list,run,counterbalancing,onset,condition,item,sentence,irreversible?,numbermoves,motioninfo,correctkey,response,RT,accuracy
FED_20160711a2_3T1,2,1,2,76.01750898361206,Sem-sent,75,A woman is recording a show on TV.,0,3,"[[0.4666666666666666, 1.47738198970131, 1.348088445357425], [0.9333333333333332, 0.4287878453771445, -1.9534945568536468], [1.4, 1.47738198970131, 1.348088445357425]]",0,1,1.783553123474121,0
FED_20160711a2_3T1,2,1,2,78.01776909828186,Sem-sent,101,A man is putting eye drops in his eye.,1,3,"[[0.4666666666666666, 1.9966980553363736, -0.1148776558602409], [0.9333333333333332, -1.097835995970361, -1.6717524116781664], [1.4, 1.9966980553363736, -0.1148776558602409]]",1,1,1.6835379600524902,1
FED_20160711a2_3T1,2,1,2,98.02031207084656,Sem-sent,105,A man is putting a piece of lime into his margarita.,1,3,"[[0.4666666666666666, -1.853592092176036, 0.7511300525358211], [0.9333333333333332, 1.5772937531299782, 1.2296928138104848], [1.4, 0.27629833904605794, -1.9808228663463046]]",1,,,
FED_20160711a2_3T1,2,1,2,100.02058911323547,Sem-sent,60,A woman is cutting a cucumber for the salad.,1,4,"[[0.35, 1.1417273072525047, -0.9728611184922258], [0.7, -1.4133860965946627, -0.5023342930289576], [1.0499999999999998, 1.1417273072525047, -0.9728611184922258], [1.4, 0.2716587893421578, 1.4751954115211832]]",1,0,0.41666102409362793,0
FED_20160711a2_3T1,2,1,2,102.02077102661133,Sem-sent,64,A woman is putting staples into the stapler.,0,3,"[[0.4666666666666666, -1.5360252762398523, 1.2808693730245426], [0.9333333333333332, -0.34125277784877456, -1.9706715965909933], [1.4, -1.5360252762398523, 1.2808693730245426]]",0,1,0.6834361553192139,0
FED_20160711a2_3T1,2,1,2,104.05437302589417,Sem-sent,70,A woman is putting stilettos in a shoebox.,0,3,"[[0.4666666666666666, -1.8945805429211684, -0.6407531243657973], [0.9333333333333332, 1.5021987547156141, -1.3203783175025474], [1.4, 0.3923817882055539, 1.9611314418683445]]",0,1,0.5000851154327393,0
FED_20160711a2_3T1,2,1,2,106.02130603790283,Sem-sent,89,A woman is exercising with a dumbbell.,0,4,"[[0.35, 1.4746508567031884, 0.2745994370433995], [0.7, -0.499515340007105, -1.414384822139147], [1.0499999999999998, 1.4746508567031884, 0.2745994370433995], [1.4, -0.975135516696083, 1.1397853850957482]]",0,,,
FED_20160711a2_3T1,2,1,2,108.02155208587646,Sem-sent,102,A man is putting vanilla extract in the dough.,1,4,"[[0.35, 1.4957292159828346, -0.11311106248009073], [0.7, -0.6499075544346089, 1.351895029463762], [1.0499999999999998, 1.4957292159828346, -0.11311106248009073], [1.4, -0.6499075544346089, 1.351895029463762]]",1,0,0.2000288963317871,0
FED_20160711a2_3T1,2,1,2,110.02182412147522,Sem-sent,93,A woman is ironing a skirt.,0,3,"[[0.4666666666666666, 1.9970354904214385, 0.10885426035394544], [0.9333333333333332, -0.9042471904340376, -1.7839105971410534], [1.4, 1.9970354904214385, 0.10885426035394544]]",0,0,0.2333359718322754,1
FED_20160711a2_3T1,2,1,2,114.02233409881592,Sem-photo,82,A man is clipping his fingernails.,1,3,"[[0.4666666666666666, 0.9880480321723246, 1.7388965139192145], [0.9333333333333332, 1.011904539520077, -1.7251229529800653], [1.4, -1.9999525716924027, -0.013773560939149956]]",1,0,1.6335370540618896,0
FED_20160711a2_3T1,2,1,2,116.02259612083435,Sem-photo,64,A woman is putting a fork in a utensil rack.,0,4,"[[0.35, 1.4990281503895486, -0.053987075672687956], [0.7, -0.7962682542033541, -1.2712029213890057], [1.0499999999999998, -0.7027598961861943, 1.3251899970616927], [1.4, -0.7962682542033541, -1.2712029213890057]]",0,0,1.550184965133667,1
FED_20160711a2_3T1,2,1,2,118.02285718917847,Sem-photo,63,A woman is screwing in a light bulb.,0,3,"[[0.4666666666666666, -0.6974519261820126, 1.8744494686880733], [0.9333333333333332, 1.9720468210851214, -0.33321364835202505], [1.4, -0.6974519261820126, 1.8744494686880733]]",0,0,1.6168639659881592,1
FED_20160711a2_3T1,2,1,2,120.02306699752808,Sem-photo,97,A woman is painting a picture.,1,4,"[[0.35, -1.0929984839215414, 1.0273043921570726], [0.7, -0.3431724590665851, -1.4602166494524684], [1.0499999999999998, -1.0929984839215414, 1.0273043921570726], [1.4, -0.3431724590665851, -1.4602166494524684]]",1,1,1.3335380554199219,1
FED_20160711a2_3T1,2,1,2,122.02332711219788,Sem-photo,109,A man is washing a wine glass.,0,3,"[[0.4666666666666666, 0.8677410204698265, -1.801950476953788], [0.9333333333333332, -1.9944053996383795, 0.1494894708441908], [1.4, 0.8677410204698265, -1.801950476953788]]",0,,,
FED_20160711a2_3T1,2,1,2,124.02358412742615,Sem-photo,62,A man is throwing away a pizza box.,0,4,"[[0.35, -1.0448682660500828, -1.0762203801273664], [0.7, -0.409600056235804, 1.4429926520712524], [1.0499999999999998, 1.4544683222858863, -0.3667722719438856], [1.4, -1.0448682660500828, -1.0762203801273664]]",0,0,0.016661882400512695,1
FED_20160711a2_3T1,2,1,2,126.0238471031189,Sem-photo,95,A woman straightening her hair.,0,4,"[[0.35, 0.7968502536694124, -1.2708381774352677], [0.7, 0.7021530189233514, 1.3255116514074192], [1.0499999999999998, 0.7968502536694124, -1.2708381774352677], [1.4, -1.499003272592764, -0.05467347397215243]]",0,1,1.350142002105713,0
FED_20160711a2_3T1,2,1,2,130.02437901496887,Perc-sent,13,A woman is wiping the kitchen counter with a sponge.,0,3,"[[0.4666666666666666, -1.2839409841689695, -1.5334586884462253], [0.9333333333333332, -0.6860436877639126, 1.8786548534734344], [1.4, -1.2839409841689695, -1.5334586884462253]]",1,,,
FED_20160711a2_3T1,2,1,2,132.0246331691742,Perc-sent,46,A woman is measuring the length of the table.,0,4,"[[0.35, 1.4999737225453824, -0.008878720253969985], [0.7, -0.7576760585657252, -1.294575988606427], [1.0499999999999998, 1.4999737225453824, -0.008878720253969985], [1.4, -0.7576760585657252, -1.294575988606427]]",0,0,1.2667889595031738,1
FED_20160711a2_3T1,2,1,2,134.02487921714783,Perc-sent,14,A man is sawing a piece of wood in half.,1,4,"[[0.35, -0.8727931080357462, -1.2199312237029194], [0.7, 1.492887984614438, -0.14589539195547357], [1.0499999999999998, -0.620094876578692, 1.3658266156583918], [1.4, -0.8727931080357462, -1.2199312237029194]]",0,1,1.500154972076416,0
FED_20160711a2_3T1,2,1,2,136.02508211135864,Perc-sent,32,A man is making an extra hole in his belt.,1,3,"[[0.4666666666666666, 0.9672867970730046, 1.750530277432598], [0.9333333333333332, -1.9996470888869533, -0.037570199705793866], [1.4, 1.0323602918139483, -1.7129600777268044]]",1,1,1.4835679531097412,1
FED_20160711a2_3T1,2,1,2,138.05868315696716,Perc-sent,54,A woman is filling out her tax forms.,1,3,"[[0.4666666666666666, 1.9997587441300761, -0.031063890215183874], [0.9333333333333332, -1.0267814901317571, -1.7163099287491197], [1.4, -0.9729772539983187, 1.7473738189643027]]",1,1,1.900238037109375,1
FED_20160711a2_3T1,2,1,2,140.0256061553955,Perc-sent,25,A man is roller-skating on the street.,0,4,"[[0.35, -0.24047409021967653, -1.4805985991932515], [0.7, -1.161998954599172, 0.9485559706788165], [1.0499999999999998, 1.402473044818848, 0.5320426285144353], [1.4, -1.161998954599172, 0.9485559706788165]]",0,0,1.5001709461212158,1
FED_20160711a2_3T1,2,1,2,142.02585411071777,Perc-sent,10,A man is power-washing his deck.,0,4,"[[0.35, -1.446225053662229, -0.3980365487737062], [0.7, 0.37840276395840045, 1.4514859104478566], [1.0499999999999998, 1.067822289703828, -1.0534493616741498], [1.4, -1.446225053662229, -0.3980365487737062]]",0,0,1.5668630599975586,1
FED_20160711a2_3T1,2,1,2,146.02637815475464,Perc-photo,32,A woman is putting on a headband.,0,4,"[[0.35, 0.4006270522641955, -1.445509586614389], [0.7, -1.4521615495541007, 0.3758015886031258], [1.0499999999999998, 0.4006270522641955, -1.445509586614389], [1.4, -1.4521615495541007, 0.3758015886031258]]",0,,,
FED_20160711a2_3T1,2,1,2,148.02664518356323,Perc-photo,45,A woman is mixing some paint on a palette.,1,3,"[[0.4666666666666666, 1.2558389783996273, 1.5565566036390006], [0.9333333333333332, -1.9759370503796132, 0.3093101565372751], [1.4, 1.2558389783996273, 1.5565566036390006]]",1,1,0.25003480911254883,1
FED_20160711a2_3T1,2,1,2,150.02691411972046,Perc-photo,10,A man is lighting a candle.,1,4,"[[0.35, -1.475738416056375, 0.2686933705460958], [0.7, 0.5051739233068027, -1.4123736429184781], [1.0499999999999998, 0.9705644927495718, 1.1436802723723822], [1.4, -1.475738416056375, 0.2686933705460958]]",0,0,1.6668610572814941,1
FED_20160711a2_3T1,2,1,2,152.02716398239136,Perc-photo,40,A woman is putting a pan in the dish rack.,0,4,"[[0.35, 1.4720258011949099, 0.2883401474239826], [0.7, -0.9857227931975734, 1.1306416651489428], [1.0499999999999998, -0.4863030079973361, -1.4189818125729248], [1.4, -0.9857227931975734, 1.1306416651489428]]",0,0,1.6835360527038574,1
FED_20160711a2_3T1,2,1,2,154.02735710144043,Perc-photo,35,A woman is scooping up some ice cream.,1,4,"[[0.35, -0.11991778514365276, -1.4951988913874437], [0.7, 1.3548391162236821, 0.6437475973937548], [1.0499999999999998, -1.23492133108003, 0.851451293993689], [1.4, 1.3548391162236821, 0.6437475973937548]]",0,1,1.9669609069824219,0
FED_20160711a2_3T1,2,1,2,156.0276231765747,Perc-photo,38,A woman is biting into a piece of candy.,1,3,"[[0.4666666666666666, 1.2125228884295323, -1.5905308060627132], [0.9333333333333332, 0.7711786393372833, 1.8453410270814163], [1.4, -1.983701527766816, -0.2548102210187035]]",1,1,1.8835718631744385,1
FED_20160711a2_3T1,2,1,2,158.02788019180298,Perc-photo,54,A man is putting a pencil behind his ear.,0,4,"[[0.35, 1.4562602580577677, -0.35959151936819045], [0.7, -1.0395455197871801, -1.0813626183156146], [1.0499999999999998, -0.4167147382705859, 1.4409541376838046], [1.4, -1.0395455197871801, -1.0813626183156146]]",0,0,1.683542013168335,1
FED_20160711a2_3T1,2,1,2,178.03043603897095,Sem-sent,90,A woman is drawing on a stickie note.,1,4,"[[0.35, -1.2719037905890056, 0.7951482550350712], [0.7, 1.324570483929743, 0.703926866302265], [1.0499999999999998, -0.052666693340736884, -1.4990751213373374], [1.4, -1.2719037905890056, 0.7951482550350712]]",1,0,1.9335730075836182,0
FED_20160711a2_3T1,2,1,2,180.03063917160034,Sem-sent,67,A man is putting fire logs into the fireplace.,0,4,"[[0.35, -0.07119954388296713, 1.4983092554445685], [0.7, -1.2619741059988598, -0.8108152414628], [1.0499999999999998, 1.333173649881828, -0.6874940139817689], [1.4, -1.2619741059988598, -0.8108152414628]]",0,,,
FED_20160711a2_3T1,2,1,2,182.030944108963,Sem-sent,108,A woman is decorating a notebook with some stickers.,0,4,"[[0.35, 1.2082553732370935, 0.888886355527911], [0.7, -1.373925851583084, 0.6019366697184163], [1.0499999999999998, 0.16567047834598986, -1.490823025246327], [1.4, 1.2082553732370935, 0.888886355527911]]",0,1,0.13335609436035156,0
FED_20160711a2_3T1,2,1,2,184.03120708465576,Sem-sent,97,A woman is spreading lotion on her hands.,1,3,"[[0.4666666666666666, -1.268914889615587, -1.5459155872530241], [0.9333333333333332, -0.7043447258596636, 1.8718703232739375], [1.4, -1.268914889615587, -1.5459155872530241]]",1,1,0.21670007705688477,1
FED_20160711a2_3T1,2,1,2,186.03146815299988,Sem-sent,69,A woman is putting aspirin into a medicine cabinet.,0,4,"[[0.35, 0.6837636699747284, 1.3350907248658013], [0.7, -1.4981043190781287, -0.07538865404990648], [1.0499999999999998, 0.6837636699747284, 1.3350907248658013], [1.4, -1.4981043190781287, -0.07538865404990648]]",0,1,1.9168758392333984,0
FED_20160711a2_3T1,2,1,2,188.03166508674622,Sem-sent,74,A woman is making a necklace using some beads.,0,3,"[[0.4666666666666666, -1.9329397479013526, 0.5135600558679145], [0.9333333333333332, 0.5217138192001063, -1.9307549536012174], [1.4, -1.9329397479013526, 0.5135600558679145]]",0,,,
FED_20160711a2_3T1,2,1,2,190.0319321155548,Sem-sent,88,A man is kicking a soccer ball.,0,4,"[[0.35, -1.499861633353481, 0.020373531707288006], [0.7, 0.7675748127000588, 1.2887315107920925], [1.0499999999999998, 0.732286820653422, -1.3091050424993798], [1.4, 0.7675748127000588, 1.2887315107920925]]",0,0,0.15001797676086426,1
FED_20160711a2_3T1,2,1,2,194.03244709968567,Perc-sent,38,A woman is making tea in a teapot.,1,4,"[[0.35, 1.0796471575310032, -1.0413270452817525], [0.7, 0.36199209609628435, 1.4556653881863848], [1.0499999999999998, -1.441639253627288, -0.4143383429046315], [1.4, 0.36199209609628435, 1.4556653881863848]]",0,0,1.8835740089416504,1
FED_20160711a2_3T1,2,1,2,196.03270506858826,Perc-sent,43,A man is putting a toupee on his head.,0,3,"[[0.4666666666666666, -1.9658169900904485, 0.36818957273628683], [0.9333333333333332, 0.6640469716470624, -1.8865422389775337], [1.4, -1.9658169900904485, 0.36818957273628683]]",1,1,1.7502310276031494,1
FED_20160711a2_3T1,2,1,2,198.03297114372253,Perc-sent,29,A woman is dissolving some Alka-Seltzer in a glass.,1,4,"[[0.35, 0.21058026087782775, -1.4851450951771097], [0.7, -1.3914635111681486, 0.5602046921328023], [1.0499999999999998, 0.21058026087782775, -1.4851450951771097], [1.4, 1.180883250290321, 0.9249404030443082]]",0,0,1.8001070022583008,1
FED_20160711a2_3T1,2,1,2,200.03324103355408,Perc-sent,37,A woman is putting mascara on her eyelashes.,0,3,"[[0.4666666666666666, 0.5322194232138263, -1.9278854959654481], [0.9333333333333332, 1.4034881034867266, 1.4248582888733994], [1.4, -1.9357075267005535, 0.5030272070920477]]",1,,,
FED_20160711a2_3T1,2,1,2,202.0168490409851,Perc-sent,15,A man is putting a handkerchief in his pocket.,0,4,"[[0.35, 0.7659813136526997, -1.2896792729725033], [0.7, 0.733904356302083, 1.308198912933666], [1.0499999999999998, -1.4998856699547831, -0.018519639961162845], [1.4, 0.733904356302083, 1.308198912933666]]",0,1,0.2166121006011963,0
FED_20160711a2_3T1,2,1,2,204.01701998710632,Perc-sent,24,A woman is polishing a silver bowl.,0,3,"[[0.4666666666666666, 1.8758494863894053, -0.6936776660759695], [0.9333333333333332, -1.5386672240543904, -1.277694475851233], [1.4, -0.3371822623350128, 1.9713721419272017]]",1,1,1.9669270515441895,1
FED_20160711a2_3T1,2,1,2,206.05061316490173,Perc-sent,52,A woman is pouring fancy wine into a wine glass.,0,4,"[[0.35, -0.9027963578150215, -1.197897631818317], [0.7, 1.4888079591953916, -0.18289576440271582], [1.0499999999999998, -0.9027963578150215, -1.197897631818317], [1.4, -0.5860116013803702, 1.3807933962210328]]",0,0,1.8669099807739258,1
FED_20160711a2_3T1,2,1,2,210.0177981853485,Sem-photo,58,A woman is eating some toast.,1,4,"[[0.35, 0.8398439590358062, 1.2428443685639257], [0.7, 0.6564128166088864, -1.3487483880218685], [1.0499999999999998, -1.4962567756446925, 0.10590401945794302], [1.4, 0.8398439590358062, 1.2428443685639257]]",1,1,1.9835948944091797,1
FED_20160711a2_3T1,2,1,2,212.01806616783142,Sem-photo,91,A woman is putting away orange juice.,0,4,"[[0.35, 1.3375704952846328, 0.6788999706466502], [0.7, -0.08084062643380795, -1.4978200135923507], [1.0499999999999998, -1.2567298688508246, 0.8189200429457013], [1.4, -0.08084062643380795, -1.4978200135923507]]",0,,,
FED_20160711a2_3T1,2,1,2,214.01831817626953,Sem-photo,69,A woman is putting an apple in a fruit bowl.,0,3,"[[0.4666666666666666, 1.7371380265662157, 0.9911364571327371], [0.9333333333333332, -1.7269183637769636, 1.0088374323199425], [1.4, -0.010219662789249915, -1.9999738894526784]]",0,1,1.9002490043640137,0
FED_20160711a2_3T1,2,1,2,216.01858019828796,Sem-photo,74,A man is pouring some coffee.,0,3,"[[0.4666666666666666, 1.993137480918269, -0.16553846126739513], [0.9333333333333332, -0.8532082276981827, 1.808876922343841], [1.4, -1.1399292532200873, -1.6433384610764437]]",0,0,1.7668910026550293,1
