subjid,list,run,counterbalancing,onset,condition,item,sentence,irreversible?,numbermoves,motioninfo,correctkey,response,RT,accuracy
FED_20190611b_3T2,2,2,1,40.02969312667847,Sem-sent,110,A boy is chasing a cat around the yard.,0,4,"[[0.35, -0.33807669076016894, -1.4614048553240315], [0.7, 1.4346520753046175, 0.4379194250363347], [1.0499999999999998, -1.0965753845444497, 1.023485430287697], [1.4, -0.33807669076016894, -1.4614048553240315]]",0,1,1.6502649784088135,0
FED_20190611b_3T2,2,2,1,42.02992296218872,Sem-sent,81,A man is turning the burger over using a spatula.,0,3,"[[0.4666666666666666, 1.7470884190838407, -0.973489628040857], [0.9333333333333332, -1.7166109577459667, -1.0262781395637708], [1.4, 1.7470884190838407, -0.973489628040857]]",0,,,
FED_20190611b_3T2,2,2,1,44.030210971832275,Sem-sent,62,A man is surfing using a surfboard.,0,3,"[[0.4666666666666666, 0.004288659887863398, 1.9999954018438058], [0.9333333333333332, 1.7299024955048716, -1.0037117893329828], [1.4, -1.7341911553927338, -0.9962836125108226]]",0,0,0.13334107398986816,1
FED_20190611b_3T2,2,2,1,46.03046202659607,Sem-sent,92,A woman is having some cognac at the bar.,1,3,"[[0.4666666666666666, -0.4805857135181917, 1.9414008787373644], [0.9333333333333332, -1.4410096231568947, -1.386899875971306], [1.4, -0.4805857135181917, 1.9414008787373644]]",1,1,0.21669697761535645,1
FED_20190611b_3T2,2,2,1,50.030982971191406,Perc-photo,23,A woman is raking leaves.,0,4,"[[0.35, 1.4991210076351984, -0.05134398179755568], [0.7, -0.7940256963857277, -1.2726048850602296], [1.0499999999999998, -0.7050953112494692, 1.3239488668577855], [1.4, -0.7940256963857277, -1.2726048850602296]]",0,0,1.8836381435394287,1
FED_20190611b_3T2,2,2,1,52.031245946884155,Perc-photo,26,A woman is putting on a sock.,0,4,"[[0.35, 0.5522196825675045, -1.3946517207478877], [0.7, -1.483913660883104, 0.21908958680070562], [1.0499999999999998, 0.5522196825675045, -1.3946517207478877], [1.4, -1.483913660883104, 0.21908958680070562]]",0,0,1.733415126800537,1
FED_20190611b_3T2,2,2,1,54.03144407272339,Perc-photo,40,A woman is putting a pan in the dish rack.,0,3,"[[0.4666666666666666, 0.6722199981695121, -1.8836454746212148], [0.9333333333333332, -1.9673948318303236, 0.3596631419638837], [1.4, 0.6722199981695121, -1.8836454746212148]]",1,1,1.7670080661773682,1
FED_20190611b_3T2,2,2,1,56.03175497055054,Perc-photo,46,A woman is cutting a banana.,1,4,"[[0.35, -0.19572186016836265, -1.4871761675915318], [0.7, 1.3857932711212315, 0.5740879808140186], [1.0499999999999998, -0.19572186016836265, -1.4871761675915318], [1.4, 1.3857932711212315, 0.5740879808140186]]",0,0,1.8169541358947754,1
FED_20190611b_3T2,2,2,1,58.032017946243286,Perc-photo,39,A woman is hanging up a sweater.,0,3,"[[0.4666666666666666, 1.5154102337173028, 1.305194170820905], [0.9333333333333332, -1.8880364256609214, 0.6597866741436443], [1.4, 1.5154102337173028, 1.305194170820905]]",1,,,
FED_20190611b_3T2,2,2,1,60.032150983810425,Perc-photo,34,A woman is putting a crouton in a salad.,0,4,"[[0.35, -0.6000089343571157, 1.37476880917907], [0.7, -0.8905802459009969, -1.2070073842404279], [1.0499999999999998, -0.6000089343571157, 1.37476880917907], [1.4, 1.4905891802581142, -0.1677614249386422]]",0,1,0.033460140228271484,0
