subjid,list,run,counterbalancing,onset,condition,item,sentence,irreversible?,numbermoves,motioninfo,correctkey,response,RT,accuracy
FED_20160622a_3T1,2,2,2,70.03157711029053,Sem-sent,24,A woman is polishing a silver bowl.,0,4,"[[0.35, -0.8020891915836521, 1.2675381369981273], [0.7, -0.6966756311141519, -1.3283986845114302], [1.0499999999999998, -0.8020891915836521, 1.2675381369981273], [1.4, 1.4987648226978043, 0.06086054751330322]]",0,1,1.3668060302734375,0
FED_20160622a_3T1,2,2,2,72.03176212310791,Sem-sent,16,A man is putting nutella on his toast.,1,4,"[[0.35, -1.443135447701183, -0.4090966628906982], [0.7, 1.075855826517375, -1.0452436273657044], [1.0499999999999998, -1.443135447701183, -0.4090966628906982], [1.4, 1.075855826517375, -1.0452436273657044]]",1,0,1.533560037612915,0
FED_20160622a_3T1,2,2,2,74.03194117546082,Sem-sent,44,A man is getting a tattoo on his arm.,1,4,"[[0.35, 0.8385099430495966, 1.2437447790471172], [0.7, 0.6578596029542698, -1.3480433015303517], [1.0499999999999998, -1.4963695460038655, 0.10429852248323315], [1.4, 0.6578596029542698, -1.3480433015303517]]",1,1,1.3001317977905273,1
FED_20160622a_3T1,2,2,2,76.06546211242676,Sem-sent,27,A man is grinding some lamb cubes in the meat grinder.,1,3,"[[0.4666666666666666, -1.0071805911036815, 1.727885197836951], [0.9333333333333332, 1.9999827717017407, 0.008301379175938161], [1.4, -0.9928021805980597, -1.7361865770128906]]",1,1,1.7501559257507324,1
FED_20160622a_3T1,2,2,2,78.032310962677,Sem-sent,30,A woman is putting a necklace in a jewelry box.,0,4,"[[0.35, -1.4607067759454684, -0.3410802174078633], [0.7, 0.43496925496920524, 1.4355492841527715], [1.0499999999999998, 1.0257375209762623, -1.0944690667449088], [1.4, 0.43496925496920524, 1.4355492841527715]]",0,0,1.6335031986236572,1
FED_20160622a_3T1,2,2,2,98.01751399040222,Sem-sent,28,A man is putting the chess pieces on the chess board.,0,3,"[[0.4666666666666666, -1.9085267484383732, 0.5979344867920316], [0.9333333333333332, 0.43643691885847896, -1.9517998913457593], [1.4, 1.4720898295798959, 1.3538654045537293]]",0,0,1.7168631553649902,1
FED_20160622a_3T1,2,2,2,100.01770401000977,Sem-sent,5,A woman is putting a quarter into the snack machine.,0,3,"[[0.4666666666666666, 1.949713433413925, 0.44566526403264173], [0.9333333333333332, -0.588899276470397, -1.911333995452559], [1.4, 1.949713433413925, 0.44566526403264173]]",0,1,1.6835100650787354,0
FED_20160622a_3T1,2,2,2,102.01796698570251,Sem-sent,34,A man is burning an incense stick.,1,4,"[[0.35, 1.2235763678497653, 0.8676755568987616], [0.7, -1.36321725844202, 0.62581043957881], [1.0499999999999998, 0.1396408905922561, -1.4934859964775704], [1.4, 1.2235763678497653, 0.8676755568987616]]",1,1,1.4500620365142822,1
FED_20160622a_3T1,2,2,2,104.01814794540405,Sem-sent,3,A man is eating a clementine.,1,4,"[[0.35, 1.4411312226569761, 0.4161019094923849], [0.7, -1.0809204355121067, 1.040005294261677], [1.0499999999999998, -0.36021078714486987, -1.4561072037540619], [1.4, -1.0809204355121067, 1.040005294261677]]",1,1,1.3333780765533447,1
FED_20160622a_3T1,2,2,2,106.01833200454712,Sem-sent,18,A man is tearing up some documents.,1,3,"[[0.4666666666666666, 0.6469077667179228, -1.8924878708620643], [0.9333333333333332, -1.9623964558794336, 0.38600537554785225], [1.4, 0.6469077667179228, -1.8924878708620643]]",1,1,1.6500921249389648,1
