subject,index,weight,i,j,k,x(mm),y(mm),z(mm)
1,231486,0.4000,73,37,24,-54,-54,-26
1,231575,1.0000,71,38,24,-50,-52,-26
1,231576,1.0000,72,38,24,-52,-52,-26
1,231577,0.4000,73,38,24,-54,-52,-26
1,231665,0.2000,70,39,24,-48,-50,-26
1,231666,1.0000,71,39,24,-50,-50,-26
1,231667,1.0000,72,39,24,-52,-50,-26
1,239915,0.8000,39,21,25,14,-86,-24
1,239916,1.0000,40,21,25,12,-86,-24
1,240007,0.8000,40,22,25,12,-84,-24
1,240008,1.0000,41,22,25,10,-84,-24
1,240100,0.2000,42,23,25,8,-82,-24
1,240101,1.0000,43,23,25,6,-82,-24
1,240369,0.6000,38,26,25,16,-76,-24
1,240370,0.4000,39,26,25,14,-76,-24
1,240460,0.6000,38,27,25,16,-74,-24
1,240551,0.2000,38,28,25,16,-72,-24
1,241036,0.6000,68,33,25,-44,-62,-24
1,241037,1.0000,69,33,25,-46,-62,-24
1,241038,0.8000,70,33,25,-48,-62,-24
1,241128,1.0000,69,34,25,-46,-60,-24
1,241129,1.0000,70,34,25,-48,-60,-24
1,241130,0.4000,71,34,25,-50,-60,-24
1,241219,0.2000,69,35,25,-46,-58,-24
1,241220,0.8000,70,35,25,-48,-58,-24
1,241221,0.4000,71,35,25,-50,-58,-24
1,241312,0.2000,71,36,25,-50,-56,-24
1,241313,0.2000,72,36,25,-52,-56,-24
1,241403,0.2000,71,37,25,-50,-54,-24
1,241404,0.2000,72,37,25,-52,-54,-24
1,241405,0.2000,73,37,25,-54,-54,-24
1,241406,0.2000,74,37,25,-56,-54,-24
1,241494,0.4000,71,38,25,-50,-52,-24
1,241495,0.2000,72,38,25,-52,-52,-24
1,241496,0.2000,73,38,25,-54,-52,-24
1,241497,0.2000,74,38,25,-56,-52,-24
1,241587,0.2000,73,39,25,-54,-50,-24
1,249834,0.6000,39,21,26,14,-86,-22
1,249835,1.0000,40,21,26,12,-86,-22
1,249926,0.8000,40,22,26,12,-84,-22
1,249927,0.8000,41,22,26,10,-84,-22
1,250020,1.0000,43,23,26,6,-82,-22
1,250955,0.4000,68,33,26,-44,-62,-22
1,250956,1.0000,69,33,26,-46,-62,-22
1,250957,1.0000,70,33,26,-48,-62,-22
1,250958,0.2000,71,33,26,-50,-62,-22
1,251047,0.8000,69,34,26,-46,-60,-22
1,251048,1.0000,70,34,26,-48,-60,-22
1,251049,0.4000,71,34,26,-50,-60,-22
1,251234,0.2000,74,36,26,-56,-56,-22
1,251322,0.2000,71,37,26,-50,-54,-22
1,251323,0.2000,72,37,26,-52,-54,-22
1,251324,0.2000,73,37,26,-54,-54,-22
1,251413,0.2000,71,38,26,-50,-52,-22
1,251414,0.2000,72,38,26,-52,-52,-22
1,251415,0.2000,73,38,26,-54,-52,-22
1,251507,0.2000,74,39,26,-56,-50,-22
1,259681,1.0000,58,20,27,-24,-88,-20
1,259682,0.6000,59,20,27,-26,-88,-20
1,259683,0.8000,60,20,27,-28,-88,-20
1,259684,0.8000,61,20,27,-30,-88,-20
1,259845,0.2000,40,22,27,12,-84,-20
1,260199,0.2000,30,26,27,32,-76,-20
1,260303,0.2000,43,27,27,6,-74,-20
1,260393,0.6000,42,28,27,8,-72,-20
1,260394,1.0000,43,28,27,6,-72,-20
1,260692,0.2000,68,31,27,-44,-66,-20
1,260783,0.4000,68,32,27,-44,-64,-20
1,260784,0.4000,69,32,27,-46,-64,-20
1,260874,0.2000,68,33,27,-44,-62,-20
1,260875,0.6000,69,33,27,-46,-62,-20
1,260876,0.6000,70,33,27,-48,-62,-20
1,260877,0.2000,71,33,27,-50,-62,-20
1,260966,0.2000,69,34,27,-46,-60,-20
1,260967,0.2000,70,34,27,-48,-60,-20
1,260971,1.0000,74,34,27,-56,-60,-20
1,261062,0.8000,74,35,27,-56,-58,-20
1,261063,1.0000,75,35,27,-58,-58,-20
1,261153,0.2000,74,36,27,-56,-56,-20
1,261154,0.8000,75,36,27,-58,-56,-20
1,261336,0.2000,75,38,27,-58,-52,-20
1,261426,0.2000,74,39,27,-56,-50,-20
1,269416,0.2000,56,18,28,-20,-92,-18
1,269417,0.8000,57,18,28,-22,-92,-18
1,269507,1.0000,56,19,28,-20,-90,-18
1,269508,1.0000,57,19,28,-22,-90,-18
1,269509,1.0000,58,19,28,-24,-90,-18
1,269510,1.0000,59,19,28,-26,-90,-18
1,269511,1.0000,60,19,28,-28,-90,-18
1,269599,0.8000,57,20,28,-22,-88,-18
1,269600,0.6000,58,20,28,-24,-88,-18
1,269601,0.6000,59,20,28,-26,-88,-18
1,269602,1.0000,60,20,28,-28,-88,-18
1,269603,1.0000,61,20,28,-30,-88,-18
1,269604,0.6000,62,20,28,-32,-88,-18
1,269605,0.4000,63,20,28,-34,-88,-18
1,269694,0.4000,61,21,28,-30,-86,-18
1,269696,0.2000,63,21,28,-34,-86,-18
1,270610,0.2000,67,31,28,-42,-66,-18
1,270702,0.2000,68,32,28,-44,-64,-18
1,270793,0.2000,68,33,28,-44,-62,-18
1,270794,0.2000,69,33,28,-46,-62,-18
1,270799,0.6000,74,33,28,-56,-62,-18
1,270889,0.8000,73,34,28,-54,-60,-18
1,270890,1.0000,74,34,28,-56,-60,-18
1,270891,1.0000,75,34,28,-58,-60,-18
1,270981,1.0000,74,35,28,-56,-58,-18
1,270982,1.0000,75,35,28,-58,-58,-18
1,271073,0.4000,75,36,28,-58,-56,-18
1,271520,0.2000,67,41,28,-42,-46,-18
1,271528,0.4000,75,41,28,-58,-46,-18
1,271529,0.4000,76,41,28,-60,-46,-18
1,271530,1.0000,77,41,28,-62,-46,-18
1,271610,0.2000,66,42,28,-40,-44,-18
1,271618,0.2000,74,42,28,-56,-44,-18
1,271619,0.4000,75,42,28,-58,-44,-18
1,271620,0.8000,76,42,28,-60,-44,-18
1,271621,0.8000,77,42,28,-62,-44,-18
1,271706,0.2000,71,43,28,-50,-42,-18
1,271707,1.0000,72,43,28,-52,-42,-18
1,271709,0.4000,74,43,28,-56,-42,-18
1,271710,1.0000,75,43,28,-58,-42,-18
1,279338,0.2000,59,18,29,-26,-92,-16
1,279339,0.4000,60,18,29,-28,-92,-16
1,279340,0.4000,61,18,29,-30,-92,-16
1,279430,0.8000,60,19,29,-28,-90,-16
1,279431,1.0000,61,19,29,-30,-90,-16
1,279517,0.4000,56,20,29,-20,-88,-16
1,279522,1.0000,61,20,29,-30,-88,-16
1,279523,0.4000,62,20,29,-32,-88,-16
1,279616,0.4000,64,21,29,-36,-86,-16
1,279617,0.8000,65,21,29,-38,-86,-16
1,279708,0.4000,65,22,29,-38,-84,-16
1,280711,0.8000,67,33,29,-42,-62,-16
1,280712,0.4000,68,33,29,-44,-62,-16
1,280801,1.0000,66,34,29,-40,-60,-16
1,280802,1.0000,67,34,29,-42,-60,-16
1,280807,0.4000,72,34,29,-52,-60,-16
1,280808,0.6000,73,34,29,-54,-60,-16
1,280809,0.2000,74,34,29,-56,-60,-16
1,280810,0.2000,75,34,29,-58,-60,-16
1,280892,0.6000,66,35,29,-40,-58,-16
1,280898,0.2000,72,35,29,-52,-58,-16
1,280899,0.6000,73,35,29,-54,-58,-16
1,280900,0.2000,74,35,29,-56,-58,-16
1,280901,0.4000,75,35,29,-58,-58,-16
1,280983,0.4000,66,36,29,-40,-56,-16
